"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Главная страница","","0","2","4","0","0"
"","Главная страница","Basic Auth","0","0","4","0","0"
"","Главная страница","JS Prompt Cancel","0","0","1","0","0"
"","Главная страница","Уведомления","0","0","1","0","0"
"","Главная страница","Модальное окно Entry Ad","0","0","1","0","0"
"","Главная страница","Перетаскивание элементов","0","0","1","0","0"
"","Главная страница","Добавление и удаление элементов","0","0","1","0","0"
"","","","0","0","1","0","0"
"","Главная страница","JS Confirm OK","0","0","1","0","0"
"","Главная страница","Исчезающие элементы","0","0","1","0","0"
"","Главная страница","Контекстное меню","0","0","1","0","0"
"","Главная страница","Авторизация с неверным логином","0","0","1","0","0"
"","Главная страница","JS Confirm Cancel","0","0","1","0","0"
"","Главная страница","Авторизация с неверным паролем","0","0","1","0","0"
"","Главная страница","Проверка битых изображений","0","0","1","0","0"
"","Главная страница","Статус-коды HTTP","0","0","4","0","0"
"","Главная страница","Переключение чекбоксов","0","0","1","0","0"
"","Главная страница","Обработка нажатий клавиш","0","0","1","0","0"
"","Главная страница","Успешная авторизация","0","0","1","0","0"
"","Главная страница","Вложенные фреймы","0","0","1","0","0"
"","Главная страница","JS Prompt OK","0","0","1","0","0"
"","Главная страница","JS Alert","0","0","1","0","0"
"","Главная страница","Динамический контент","0","0","1","0","0"
"","Главная страница","Новое окно","0","0","1","0","0"
"","Главная страница","Динамическая загрузка","0","0","1","0","0"
"","Главная страница","Выбор из выпадающего списка","0","0","1","0","0"
